Key;Title;Description
"2030170";"From/to work address";"Verplaatsingen van en naar een werkadres. Dit kan een vast werkadres zijn, maar ook een tijdelijk werkadres. Het gaat dus ook om adressen waar men tegen  betaling als oproepkracht werkt, een bijbaantje heeft of vrijwilligerswerk uitvoert."
"2030180";"Business visit in working atmosphere";"Bij /""/zakelijk bezoek in de werksfeer/""/ gaat het om verplaatsingen vanwege het werk, maar niet naar een werkadres waar men kantoor houdt of regelmatig het werk verricht. Het gaat hier vooral om dienstreizen, klantenbezoek, vergaderingen en symposia."
"2030190";"Services and care";"Hiertoe  behoren verplaatsingen naar een locatie waar men (eventueel tegen betaling) een dienst verleend krijgt of waar men terecht kan voor de persoonlijke verzorging. Het gaat hier om bijvoorbeeld een bezoek aan het gemeentehuis, de kapper, de huisarts of een hypotheekadviseur."
"2030200";"Shopping and groceries";"Betreft het kopen van goederen. Het kan daarbij zowel gaan om food als om non-food. Ook het kijken, maar niet kopen zoals windowshopping en bezichtigen van producten valt onder /""/winkelen/boodschappen doen/""/."
"2030210";"Study and daycare";"Hieronder valt alles wat met het volgen van onderwijs en kinderopvang te maken heeft."
"2030220";"Visits and stays";"Betreft het op bezoek gaan en eventueel overnachten bij familie, vrienden of kennissen."
"2030230";"Sport, hobbies, night-life and cultural visits";"Sportieve verplaatsingen of verplaatsingen naar een locatie om een sport of hobby te beoefenen of te aanschouwen. Ook tellen de verplaatsingen mee ten behoeve van bezoek aan horecagelegenheden, culturele activiteiten en religieuze bezigheden. Ook buiten spelen is een vorm van /""/sport en ontspanning/""/."
"2030240";"Touring and hiking";"Met name recreatieve verplaatsingen te voet, met de fiets of met de auto of motor. Ook het uitlaten van de hond valt onder /""/toeren/wandelen/""/. Dit betreffen altijd /""/rondjes/""/ met hetzelfde begin- en eindadres. Het gaat hier expliciet niet om de autorit ergens naar toe om daar te gaan wandelen maar puur om de wandeling/toertocht op zich."
"2030250";"Other travel motives";"Onder andere het niet-commercieel /""/brengen en halen van personen/""/ en /""/brengen en halen van goederen/""/. Verder vallen hier verplaatsingen onder met als einddoel /""/naar de parkeerplaats/""/, /""/naar de auto/""/ of /""/naar een station of bushalte/""/. Verder bevat deze categorie de doelen die niet onder één van de andere categorieën geschaard kunnen worden."
"T001080";"Totaal";